Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2022-06-01,52737.0390625,62359.23566337719,52551.99682017544,62359.23566337719,428473209
2022-07-01,57155.328125,58272.37036848534,51849.377468444625,52966.419711929964,301826933
2022-08-01,55572.85546875,57620.76639054649,54176.55256752513,56782.98464981156,251681339
2022-09-01,49429.12109375,54828.158802671845,48218.9919520951,54641.98508857109,288615372
2022-10-01,55673.515625,56329.60082596802,49768.74881628788,49768.74881628788,326537635
2022-11-01,58297.85546875,59235.120026125405,54455.070783510855,56142.146986786574,290682036
2022-12-01,51830.73046875,59235.12053571429,51830.73046875,59141.39407917044,234543029
2023-01-01,57907.84765625,61303.09605303339,51400.288229081845,52343.412783743894,205479356
2023-02-01,57153.3515625,60359.97524752475,56776.10171720297,59039.600788985146,25872422
2023-03-01,60359.9765625,60359.9765625,55644.35339355469,57153.352807617186,273644150
2023-04-01,62132.3984375,63175.84329675573,59096.92248330153,60709.51908396947,291035766
2023-05-01,67729.0546875,68772.49950761555,60330.08232668067,62132.39610688025,269419265
2023-06-01,68487.9140625,69626.21734331717,66401.02471433517,67254.75217494805,265070208
2023-07-01,66541.7421875,70164.3585243553,64921.09803680158,69306.37044457378,303283444
2023-08-01,63777.10546875,67876.38130605381,62728.45351036995,66827.72934767377,258464791
2023-09-01,65207.0859375,69497.02580180921,63586.44198876097,63681.77398574562,283534308
2023-10-01,64110.59375,67560.49117152467,63248.119394618836,65548.05100896861,290080133
2023-11-01,69764.59375,70339.57666552198,64493.917024381866,64685.57799622253,273455511
2023-12-01,75226.9375,75226.9375,68135.48097133757,69381.27738853503,254875780
2024-01-01,69998.6484375,76834.83005931912,68072.96347360729,75583.13483278886,387384335
2024-02-01,70672.6484375,72694.61794320504,69324.66876702997,70287.51138879427,298955484
2024-03-01,79338.21875,79434.50299605582,69035.8044220267,71539.19481947816,448361736
2024-04-01,74959.3984375,83180.75181451613,72638.07513104839,80472.54129032258,484342028
2024-05-01,71090.5234375,78828.26748511905,71090.5234375,75056.11726190476,421088782
2024-06-01,78828.2734375,79795.49151648773,71767.58146088957,71961.02507668712,351896233
2024-07-01,81511.53125,86272.03784266984,77722.55661501788,79179.85455154946,477159149
2024-08-01,72184.828125,83648.9058083782,68201.54689602961,83551.7526076716,402010176
2024-09-01,59749.21875,72573.44131097561,59749.21875,72379.13490853658,516679519
2024-10-01,57837.40625,60475.26092694257,54417.96500211149,59107.48442778717,537302984
2024-11-01,52952.4921875,58228.20174123617,48751.46420952491,57642.01179082104,581402427
2024-12-01,51975.5078125,55297.25079299812,50705.429614074244,53050.1893650141,387381948
