Company,beta_qqq,se_beta_hc1_qqq,se_beta_hac_qqq,p_beta_hc1_qqq,p_beta_hac_qqq,n_obs_qqq,beta_eqw,se_beta_hc1_eqw,se_beta_hac_eqw,p_beta_hc1_eqw,p_beta_hac_eqw,n_obs_eqw,beta_diff,abs_beta_diff
Netflix,1.4004515474905186,0.3279037882317081,0.33861079439413205,5.3187834349435005e-05,8.668249574880582e-05,82,1.3356045696787655,0.28909474134086643,0.29663164288750427,1.4284073625784744e-05,2.2278484349218934e-05,83,0.06484697781175308,0.06484697781175308
Nvidia,1.8831958683680972,0.18268933398619464,0.21082826431919927,2.4319030193083174e-16,1.1928871671178548e-13,82,1.6236787463163846,0.15879465282924424,0.17514056821958313,3.0749101419095087e-16,2.3175175990895614e-14,83,0.2595171220517125,0.2595171220517125
Oracle,0.8511898627593892,0.09371297828087644,0.1036774278239324,6.035563370021924e-14,3.134167644728423e-12,82,0.7612976871118813,0.08141652217099987,0.09166241550787757,1.61128105076677e-14,1.876281092828659e-12,83,0.08989217564750795,0.08989217564750795
Palantir,2.1421551223781283,0.5657554281619007,0.5064862324464482,0.0004178696428492805,0.0001020638637571369,51,2.273104183470374,0.5057277202856045,0.47897535008840536,4.26679304772225e-05,1.8390819152121763e-05,51,-0.1309490610922457,0.1309490610922457
SAP,0.951913768278802,0.10813386829640335,0.09281993922555998,2.1413736466851115e-13,3.0777515523323997e-16,82,0.8484602051706859,0.09584552697810049,0.09216323002513571,1.5560586730450548e-13,3.1099695594956546e-14,83,0.10345356310811615,0.10345356310811615
Salesforce,1.1807228153284641,0.14240654809710682,0.13226958690724944,2.1710766992849623e-12,1.2242274924760827e-13,82,1.1158774985812556,0.11267663696924696,0.10864214852054156,1.3135456159433747e-15,2.49840281149555e-16,83,0.0648453167472085,0.0648453167472085
Samsung,0.655694617402543,0.11468300647623741,0.11221408419593068,1.7944965634804518e-07,1.0592785810996241e-07,82,0.5918675502819336,0.10344589874176786,0.10623006291405408,1.7158827302789703e-07,3.2062770669185415e-07,83,0.06382706712060937,0.06382706712060937
ServiceNow,0.941557511955358,0.11637978085775047,0.1151778566498023,5.379066643983347e-12,3.67391012369663e-12,82,0.9411925571531861,0.08307747195698936,0.09449070818704966,2.227291240967503e-18,1.0136035023512117e-15,83,0.0003649548021719129,0.0003649548021719129
Snowflake,0.9170127611051706,0.30300556669529427,0.3056287342183723,0.0039369540827099755,0.0042310456797873775,51,1.015399209829228,0.2440846304054701,0.2525079598240309,0.00012781151578503133,0.0001995122510480863,51,-0.09838644872405733,0.09838644872405733
Sony,0.8548054371932077,0.11075313114397488,0.11579352719453256,2.8778963279036315e-11,1.297031034464421e-10,82,0.7743120470552879,0.09282410342575714,0.10507077261006265,1.5910196177228955e-12,1.294398710123244e-10,83,0.08049339013791978,0.08049339013791978
Spotify,1.5979049151598552,0.17286672642940643,0.1538860204422807,3.638064650780324e-14,2.321885050122266e-16,80,1.5049237995806248,0.145969869623325,0.13486167596749202,3.21363381773557e-16,7.868796686011363e-18,80,0.09298111557923039,0.09298111557923039
Taiwan Semiconductor,1.0011601518337292,0.13085763084623517,0.11050367603877893,3.8947230503247103e-11,6.696553063679793e-14,82,0.9138106735391779,0.1171441782325814,0.109988312476772,1.8526779021736372e-11,1.8525284013155046e-12,83,0.08734947829455131,0.08734947829455131
Tencent,0.3917514054095049,0.19964623708380871,0.1643475336423633,0.05321312051895191,0.019510082119330335,82,0.4396909388268779,0.1792771458535838,0.15477157998748803,0.016332007764401715,0.005688131887682407,83,-0.04793953341737295,0.04793953341737295
Tesla,1.8930049425525655,0.30922911777211143,0.3425407493123537,3.252676004414489e-08,3.9640535804328273e-07,82,1.7385431773291915,0.2697823630279942,0.29040236622208365,7.792869148513096e-09,5.5974769467640404e-08,83,0.15446176522337396,0.15446176522337396
Workday,1.1042141828370189,0.14595812556498614,0.14566409238129255,5.7150737852510935e-11,5.336858032430424e-11,82,1.0725850918318136,0.13090684919999143,0.12777123693386377,3.1210799963066804e-12,1.250956250897036e-12,83,0.03162909100520528,0.03162909100520528
