Company,n,MeanReturn,SE,df,CI_t_low,CI_t_high,CI_boot_low,CI_boot_high,BootMean,BootBias,t_stat,p_t,p_boot,IncludesZero_t,IncludesZero_boot,p_t_fdr,signif_t_fdr,p_boot_fdr,signif_boot_fdr
ASML,83,0.015685087648432502,0.010620930101497223,82,-0.005443325696526339,0.03681350099339134,-0.005110073032148437,0.0367332090650455,0.015685087648432502,0.0,1.4768092340821817,0.14355707510613736,0.14933333333333335,True,True,0.3588926877653434,False,0.37333333333333335,False
Oracle,83,0.01542490321041336,0.008563806883393353,82,-0.0016112367424549502,0.032461043163281675,-0.0009860276349628009,0.03298372314789427,0.01542490321041336,0.0,1.8011736392987576,0.0753516234591308,0.072,True,True,0.26231264470617005,False,0.24222222222222226,False
Netflix,83,0.014498071568469889,0.01374272236429642,82,-0.012840581056400768,0.041836724193340544,-0.013561220756404153,0.039700098356214346,0.014498071568469889,0.0,1.0549635788419816,0.29454044627167875,0.2813333333333333,True,True,0.42077206610239826,False,0.40190476190476193,False
Alphabet,83,0.014189527719354231,0.007969290833290362,82,-0.001663930422528664,0.030042985861237125,-0.002384056441662342,0.029387662707887743,0.014189527719354231,0.0,1.7805257727676198,0.07869379341185101,0.08333333333333333,True,True,0.26231264470617005,False,0.25,False
Meta Platforms,83,0.013921859860402409,0.012482032524976896,82,-0.010908879072316394,0.038752598793121214,-0.011016156136548029,0.037133955432429415,0.013921859860402409,0.0,1.1153519935590919,0.267957691272177,0.2773333333333333,True,True,0.40193653690826553,False,0.40190476190476193,False
Amazon,83,0.013437579072857087,0.009809634994929468,82,-0.006076909861292428,0.032952068007006605,-0.005481146138910035,0.03237490928399105,0.013437579072857087,0.0,1.3698347675324183,0.17447785772169214,0.17866666666666667,True,True,0.38533298459850457,False,0.3871428571428571,False
Infosys,83,0.013116203155875155,0.008603398763675453,82,-0.003998697659150266,0.030231103970900577,-0.00373843867864581,0.03013535607573532,0.013116203155875155,0.0,1.5245373969242584,0.13122222696332989,0.12266666666666666,True,True,0.3578788008090815,False,0.33454545454545453,False
Salesforce,83,0.013090338755783278,0.010451800801595856,82,-0.00770162253432626,0.033882300045892814,-0.007125423192381374,0.03337441033922986,0.013090338755783278,0.0,1.252448166997648,0.2139668755618648,0.20733333333333334,True,True,0.40193653690826553,False,0.38875000000000004,False
Spotify,80,0.012845753496591502,0.015000465766170474,79,-0.01701192674123236,0.04270343373441536,-0.01626934023282373,0.04196425884224725,0.012845753496591502,0.0,0.8563569756321602,0.3943904784797607,0.39866666666666667,True,True,0.4721630260194063,False,0.46692307692307694,False
SAP,83,0.010896597571889582,0.00936050622382006,82,-0.007724431163348044,0.029517626307127207,-0.007947622262158316,0.028747742527011316,0.010896597571889582,0.0,1.1641034481832369,0.24775795429272948,0.242,True,True,0.40193653690826553,False,0.40190476190476193,False
Accenture,83,0.01071534278210855,0.007920570720623315,82,-0.0050411955355399996,0.0264718810997571,-0.005064442294527778,0.026176818191340604,0.01071534278210855,0.0,1.3528498336879062,0.17982205947930213,0.18066666666666667,True,True,0.38533298459850457,False,0.3871428571428571,False
Sony,83,0.0100958248434554,0.008815715722103625,82,-0.007441442036965977,0.027633091723876776,-0.00714735672931566,0.026660612287883398,0.0100958248434554,0.0,1.1452076225804515,0.2554546315535361,0.256,True,True,0.40193653690826553,False,0.40190476190476193,False
Adobe,83,0.009671732230081503,0.01043160621001998,82,-0.011080055584252348,0.030423520044415356,-0.011175822602396471,0.02964988605338523,0.009671732230081503,0.0,0.9271565696940719,0.3565661966725723,0.3586666666666667,True,True,0.4650863434859638,False,0.44833333333333336,False
Workday,83,0.009418913893162231,0.011354397240820912,82,-0.013168599243103101,0.03200642702942756,-0.012921993431352266,0.0307105272941461,0.009418913893162231,0.0,0.8295388732128992,0.40920795588348546,0.4046666666666667,True,True,0.4721630260194063,False,0.46692307692307694,False
IBM,83,0.008016609851442407,0.008115636222529662,82,-0.0081279758890056,0.024161195591890415,-0.00806369518844113,0.023049100256164357,0.008016609851442407,0.0,0.9877980766545017,0.3261573584982188,0.32866666666666666,True,True,0.44476003431575295,False,0.4481818181818182,False
Cisco,83,0.006750438409847265,0.0077585974254705745,82,-0.008683883425993381,0.022184760245687912,-0.00835701378865703,0.022080632836023534,0.006750438409847265,0.0,0.8700591150259142,0.3868079484135586,0.3566666666666667,True,True,0.4721630260194063,False,0.44833333333333336,False
Samsung,83,0.0030634185794924597,0.008240345090035656,82,-0.013329252825324708,0.019456089984309626,-0.012960622838983223,0.01927962951956945,0.0030634185794924597,0.0,0.3717585302582521,0.7110315726229416,0.7133333333333334,True,True,0.7355499027133878,False,0.7379310344827587,False
Tencent,83,0.0001460551154443228,0.011199099641423245,82,-0.022132521624460468,0.022424631855349115,-0.022743299358382086,0.021690901108621253,0.0001460551154443228,0.0,0.013041683717510104,0.9896262153499931,0.9926666666666667,True,True,0.9896262153499931,False,0.9926666666666667,False
Intel,83,-0.008583951574518148,0.011498994756748482,82,-0.03145911523253404,0.014291212083497751,-0.03148101005948565,0.013265358614783883,-0.008583951574518148,0.0,-0.7464958247311517,0.4575028920478924,0.4613333333333333,True,True,0.5083365467198805,False,0.5125925925925926,False
Snowflake,51,-0.00945532120501002,0.018082146861446737,50,-0.04577438204991304,0.026863739639893004,-0.04316100422715347,0.028381623001392353,-0.00945532120501002,0.0,-0.5229092141248932,0.6033470562336474,0.6093333333333333,True,True,0.6464432745360508,False,0.6528571428571428,False
