Company,beta_qqq,se_beta_hc1_qqq,se_beta_hac_qqq,p_beta_hc1_qqq,p_beta_hac_qqq,n_obs_x,beta_eqw,se_beta_hc1_eqw,se_beta_hac_eqw,p_beta_hc1_eqw,p_beta_hac_eqw,n_obs_y,beta_diff,abs_beta_diff
Infosys,0.7349135062899326,0.129989546531842,0.12264299370593845,2.3409068990541936e-07,5.643006502958672e-08,82,0.6934973297078615,0.10742163384729364,0.1008535482234993,7.408748167119393e-09,1.1676094015068144e-09,83,0.041416176582071085,0.041416176582071085
Intel,0.857094272324442,0.1599954541579801,0.1635994998586238,7.931613169432879e-07,1.2792256761557714e-06,82,0.7660304920262601,0.14283242607532304,0.14220858116232124,7.561674282403876e-07,6.868260810905038e-07,83,0.09106378029818196,0.09106378029818196
Meta Platforms,1.185533479958133,0.15892614538519054,0.11430629034957748,9.172344654432037e-11,1.8326113779124753e-16,82,1.014202517016397,0.14919480087981282,0.10221573038265724,1.6517706687141017e-09,1.2063939227304499e-15,83,0.1713309629417359,0.1713309629417359
Microsoft,0.8629079818644574,0.05456556541265066,0.047593470583782896,2.4326211550157307e-26,4.585226382475145e-30,82,0.7310214203308809,0.06162058106202273,0.05082496154834834,2.1345115284090577e-19,5.152510360356664e-24,83,0.13188656153357647,0.13188656153357647
Netflix,1.4004526422473367,0.32790384484696355,0.33861080507514374,5.3187329584665506e-05,8.668153172563774e-05,82,1.3356045696787655,0.2890947413408664,0.29663164288750427,1.4284073625784638e-05,2.2278484349218934e-05,83,0.06484807256857117,0.06484807256857117
Nvidia,1.8831978296603493,0.18268893346371756,0.21082778628313992,2.4315408819661804e-16,1.1927276174627964e-13,82,1.6236787463163846,0.1587946528292442,0.17514056821958313,3.074910141909465e-16,2.3175175990895614e-14,83,0.2595190833439647,0.2595190833439647
Oracle,0.8511896502464353,0.09371302370249432,0.10367750315328832,6.0357454725776e-14,3.134281153875059e-12,82,0.7612976871118813,0.08141652217099986,0.09166241550787757,1.61128105076677e-14,1.876281092828659e-12,83,0.08989196313455405,0.08989196313455405
Palantir,2.142153937344228,0.5657549269235663,0.5064862641199045,0.00041786800743245553,0.00010206472786234886,51,2.273104183470374,0.5057277202856044,0.47897535008840536,4.266793047722226e-05,1.8390819152121763e-05,51,-0.13095024612614603,0.13095024612614603
SAP,0.9519131747815247,0.10813362294366176,0.0928195940199837,2.1412332422234519e-13,3.077314722500154e-16,82,0.8484602051706859,0.09584552697810049,0.09216323002513571,1.5560586730450548e-13,3.1099695594956546e-14,83,0.10345296961083883,0.10345296961083883
Salesforce,1.180723232844182,0.14240656261338205,0.1322696506844858,2.171056217737254e-12,1.224233851028887e-13,82,1.1158774985812556,0.11267663696924697,0.10864214852054156,1.313545615943393e-15,2.49840281149555e-16,83,0.06484573426292628,0.06484573426292628
Samsung,0.6556944162538537,0.1146829508293957,0.11221407978513802,1.7944889214949018e-07,1.0592855453022201e-07,82,0.5918675502819336,0.10344589874176789,0.10623006291405408,1.7158827302789737e-07,3.2062770669185415e-07,83,0.06382686597192011,0.06382686597192011
ServiceNow,0.9415575479663281,0.11637969870021139,0.11517772434687215,5.3789204462614325e-12,3.6737490917157955e-12,82,0.9411925571531861,0.08307747195698936,0.09449070818704966,2.227291240967503e-18,1.0136035023512117e-15,83,0.00036499081314200765,0.00036499081314200765
Snowflake,0.9170123240783529,0.30300535847356747,0.3056285132559713,0.003936947106757866,0.004231037024466945,51,1.015399209829228,0.2440846304054701,0.2525079598240309,0.00012781151578503133,0.0001995122510480863,51,-0.09838688575087506,0.09838688575087506
Sony,0.8548053279513419,0.11075311205912709,0.11579357344334494,2.8778918834703955e-11,1.297053584213492e-10,82,0.7743120470552879,0.09282410342575713,0.10507077261006266,1.5910196177228784e-12,1.294398710123249e-10,83,0.08049328089605401,0.08049328089605401
Spotify,1.597905737622073,0.17286666468328674,0.15388597400888723,3.6379338646314994e-14,2.321798491377576e-16,80,1.5049237995806248,0.145969869623325,0.13486167596749202,3.21363381773557e-16,7.868796686011363e-18,80,0.09298193804144828,0.09298193804144828
Taiwan Semiconductor,1.0011610201574466,0.13085750216748637,0.1105034012092312,3.894475479237125e-11,6.695632484191997e-14,82,0.9138106735391779,0.11714417823258137,0.109988312476772,1.8526779021736237e-11,1.8525284013155046e-12,83,0.08735034661826868,0.08735034661826868
Tencent,0.39175179622012823,0.19964622959483638,0.1643473840991992,0.05321287979612694,0.019509857508552622,82,0.4396909388268779,0.17927714585358379,0.154771579987488,0.016332007764401697,0.005688131887682407,83,-0.04793914260674964,0.04793914260674964
Tesla,1.893004276144819,0.30922927895876884,0.34254109872074956,3.2527502989763755e-08,3.96417743291972e-07,82,1.7385431773291915,0.26978236302799424,0.29040236622208365,7.792869148513096e-09,5.5974769467640404e-08,83,0.15446109881562742,0.15446109881562742
Workday,1.1042136897543144,0.14595811347582366,0.14566422797951953,5.7151442854539576e-11,5.337107928964994e-11,82,1.0725850918318136,0.13090684919999146,0.12777123693386377,3.121079996306737e-12,1.250956250897036e-12,83,0.031628597922500834,0.031628597922500834
