Company,n_obs,alpha_ols,beta_eqw,se_beta_hc1_eqw,p_beta_hc1_eqw,se_beta_hac_eqw,p_beta_hac_eqw,R2,DW,bp_stat,bp_p,maxlags_hac
Salesforce,83,-0.003913085366857371,1.1158774985812556,0.11267663696924697,1.313545615943393e-15,0.10864214852054156,2.49840281149555e-16,0.5918318845664866,2.0119556086164807,0.9183175463530089,0.3379171177566661,3
Samsung,83,-0.005955290906689761,0.5918675502819336,0.10344589874176789,1.7158827302789737e-07,0.10623006291405408,3.2062770669185415e-07,0.26785874357055695,1.954436371761445,1.3063641401147037,0.25305400418545243,3
ServiceNow,83,0.009395587433584504,0.9411925571531861,0.08307747195698936,2.227291240967503e-18,0.09449070818704966,1.0136035023512117e-15,0.6118875137289308,2.221935532039064,4.387597330397355,0.03620129504761244,3
Snowflake,51,-0.023110487009639684,1.015399209829228,0.2440846304054701,0.00012781151578503133,0.2525079598240309,0.0001995122510480863,0.3000978879618341,2.0699102341186983,0.1402860667503092,0.7079967887267669,3
Sony,83,-0.0017029220226571812,0.7743120470552879,0.09282410342575713,1.5910196177228784e-12,0.10507077261006266,1.294398710123249e-10,0.40055710959783053,2.2635465198811744,0.011455548734281895,0.9147647061251832,3
Spotify,80,-0.011248802989602201,1.5049237995806248,0.145969869623325,3.21363381773557e-16,0.13486167596749202,7.868796686011363e-18,0.5597675550061347,2.0011675150376034,0.036438247349419584,0.8486133033230008,3
Taiwan Semiconductor,83,0.006142156638341884,0.9138106735391779,0.11714417823258137,1.8526779021736237e-11,0.109988312476772,1.8525284013155046e-12,0.40948692242650964,2.2421943657779537,1.2832255381438817,0.2573001614219354,3
Tencent,83,-0.006553830423300634,0.4396909388268779,0.17927714585358379,0.016332007764401697,0.154771579987488,0.005688131887682407,0.08003434232070161,2.05196394974306,0.00016841633185327165,0.989645718371452,3
Tesla,83,0.008110343539207214,1.7385431773291915,0.26978236302799424,7.792869148513096e-09,0.29040236622208365,5.5974769467640404e-08,0.36447022283987085,1.7876969082376368,0.0022139969599248577,0.96247088347387,3
Workday,83,-0.006924832841784384,1.0725850918318136,0.13090684919999146,3.121079996306737e-12,0.12777123693386377,1.250956250897036e-12,0.4633219873463793,2.230707166369677,0.321715425130752,0.5705785564897383,3
